"word","results","seed","hansardcount","valence","manualflag"
"begat",0.698944229097726,0,5,"Anger",0
"emphatically",0.698844389797571,0,636,"Anger",0
"misdemeanour",0.698829860849752,0,98,"Anger",0
"lionesses",0.698763552660363,0,14,"Anger",0
"casus",0.6987009342963,0,19,"Anger",0
"uttered",0.698074243708101,0,717,"Anger",0
"spars",0.698025398709088,0,1,"Anger",0
"tiernan",0.697495153035943,0,2,"Anger",1
"marle",0.69736348453834,0,1,"Anger",1
"styler",0.697274072110216,0,2,"Anger",1
"whore",0.697273708941465,0,9,"Anger",0
"plagiarism",0.697142083881161,0,56,"Anger",0
"georgiou",0.696996834837163,0,4,"Anger",1
"transvestism",0.696881010162744,0,5,"Anger",1
"duplicitous",0.696863661876005,0,104,"Anger",0
"ambiguously",0.696342922881567,0,19,"Anger",0
"cackles",0.696322931613134,0,4,"Anger",0
"supportively",0.695764943581289,0,29,"Anger",0
"tersely",0.695495938385319,0,15,"Anger",0
"chauvinistic",0.695358571149794,0,30,"Anger",0
"equilateral",0.695328429645322,0,1,"Anger",1
"derogatory",0.69516238629998,0,209,"Anger",0
"imprisons",0.694925149858949,0,29,"Anger",0
"conclusory",0.694833813212528,0,1,"Anger",0
"misogyny",0.694810442825284,0,116,"Anger",0
"foreplay",0.694753289442021,0,1,"Anger",1
"repudiate",0.694714124478269,0,296,"Anger",0
"airily",0.694614044063358,0,50,"Anger",0
"retorts",0.694601153491968,0,2,"Anger",0
"dallied",0.694348738525321,0,23,"Anger",0
"mundy",0.694245610982168,0,5,"Anger",1
"lofthouse",0.693916259192995,0,247,"Anger",0
"puerile",0.693688261994293,0,97,"Anger",0
"whithorn",0.693562651301089,0,1,"Anger",1
"harridan",0.693489704292519,0,6,"Anger",0
"shameless",0.693254297089759,0,257,"Anger",0
"apostasy",0.693159913443996,0,47,"Anger",0
"admonished",0.693061577003001,0,116,"Anger",0
"maney",0.692986420986739,0,2,"Anger",1
"elitism",0.692950888432771,0,129,"Anger",0
"emley",0.692644753275399,0,9,"Anger",1
"sadism",0.69240806747475,0,14,"Anger",0
"thoughtless",0.692318277152884,0,100,"Anger",0
"profanities",0.692143830386382,0,2,"Anger",0
"lashings",0.692091126335877,0,13,"Anger",0
"dilatory",0.69186716897762,0,223,"Anger",0
"cafaro",0.691738931572357,0,8,"Anger",1
"kidded",0.691602857895988,0,29,"Anger",0
"swindling",0.69138132150203,0,30,"Anger",0
"whipper",0.691364379635335,0,4,"Anger",0
"animus",0.69096838797097,0,43,"Anger",0
"bowdon",0.69068421989031,0,1,"Anger",1
"incriminated",0.690270172573908,0,5,"Anger",0
"maltreating",0.690218946783245,0,7,"Anger",0
"chastising",0.690142253944418,0,23,"Anger",0
"retaliates",0.689239734252091,0,5,"Anger",0
"mandamus",0.689197438316115,0,7,"Anger",1
"slighting",0.689061238471502,0,9,"Anger",0
"snowden",0.688941815336852,0,79,"Anger",1
"indecent",0.688820001328222,0,435,"Anger",0
"equating",0.688768832891135,0,111,"Anger",0
"rantings",0.688660627893797,0,51,"Anger",0
"lording",0.687878243016655,0,4,"Anger",0
"gauger",0.687793172363295,0,2,"Anger",0
"baling",0.687745613328999,0,13,"Anger",0
"gangsterism",0.687183484749176,0,81,"Anger",0
"temerko",0.687041579282914,0,9,"Anger",1
